"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-01T11:00+0100","Zch_Rosengartenstrasse","T","h1","°C",7.38,"provisorisch"
"2024-01-01T11:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",65.64,"provisorisch"
"2024-01-01T11:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",964.23,"provisorisch"
"2024-01-01T11:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T11:00+0100","Zch_Rosengartenstrasse","WD","h1","°",219.57,"provisorisch"
"2024-01-01T11:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.93,"provisorisch"
"2024-01-01T11:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",1.02,"provisorisch"
"2024-01-01T12:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",8.31,"provisorisch"
"2024-01-01T12:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",58.2,"provisorisch"
"2024-01-01T12:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",963.72,"provisorisch"
